continente,edad,goles_seleccion,nombre_jugador,numero_partidos_seleccion,pais_donde_juega,pais_nacimiento,posicion
Oceanía,22,3,Aaron Duke,39,Australia,Australia,Defensa central
Oceanía,38,30,Aaron Duke Duke,90,Alemania,Australia,Extremo izquierdo
Oceanía,25,6,Aaron Goodwin,46,Alemania,Australia,Mediocampista ofensivo
Oceanía,26,0,Aaron Grant,43,Inglaterra,Australia,Defensa central
Oceanía,30,0,Aaron Grant Smith,69,Francia,Australia,Arquero
Oceanía,22,6,Aaron Leckie,24,Japón,Australia,Mediocampista defensivo
Oceanía,25,5,Aaron Leckie Goodwin,21,Australia,Australia,Defensa central
Oceanía,26,4,Aaron Mooy,26,Alemania,Australia,Mediocampista ofensivo
Oceanía,21,4,Aaron Rowles,15,Australia,Australia,Mediocampista ofensivo
África,32,0,Abdou Dieng,61,España,Senegal,Arquero
África,21,0,Abdou Koulibaly,6,Portugal,Senegal,Defensa central
África,34,12,Abdou Koulibaly Mané,104,Portugal,Senegal,Mediocampista ofensivo
África,22,7,Abdou Ndiaye,20,Marruecos,Senegal,Extremo derecho
África,22,9,Achraf Bono,46,Marruecos,Marruecos,Mediocampista defensivo
África,22,0,Achraf Ziyech,24,España,Marruecos,Arquero
Europa,32,15,Adrien Camara,113,España,Francia,Mediocampista defensivo
Europa,35,15,Adrien Camara Giroud,76,México,Francia,Lateral derecho
Europa,39,3,Adrien Diaby,80,Ecuador,Francia,Defensa central
Europa,25,10,Adrien Fofana,23,Inglaterra,Francia,Delantero centro
Europa,18,8,Adrien Kanté,8,España,Francia,Extremo izquierdo
Europa,38,30,Adrien Kanté Diaby,88,Japón,Francia,Extremo izquierdo
Europa,18,2,Adrien Kanté Giroud,2,Inglaterra,Francia,Extremo izquierdo
América del Sur,25,1,Agustín Acuña,77,Argentina,Argentina,Defensa central
América del Sur,32,8,Agustín Acuña Romero,57,Argentina,Argentina,Delantero centro
América del Sur,23,7,Agustín Martínez,51,Argentina,Argentina,Mediocampista ofensivo
África,25,22,Ahmed Adebayo,47,Nigeria,Nigeria,Extremo derecho
África,19,5,Ahmed Balogun,14,Nigeria,Nigeria,Extremo izquierdo
África,39,4,Ahmed Musa,86,Francia,Nigeria,Defensa central
África,35,11,Ahmed Nwankwo,104,Marruecos,Nigeria,Extremo izquierdo
África,26,6,Ahmed Okafor,13,Nigeria,Nigeria,Extremo derecho
África,24,0,Ahmed Onyeka,3,Nigeria,Nigeria,Lateral izquierdo
Oceanía,33,5,Aiden Goodwin,57,Australia,Australia,Lateral izquierdo
Oceanía,22,3,Aiden Rowles,16,Australia,Australia,Lateral izquierdo
África,36,0,Alex Balogun,61,Nigeria,Nigeria,Arquero
África,26,1,Alex Okafor,58,Brasil,Nigeria,Extremo derecho
África,36,2,Alex Omeruo,49,Nigeria,Nigeria,Mediocampista defensivo
América del Norte,19,0,Alexis Chávez,8,Inglaterra,México,Arquero
América del Norte,30,13,Alexis Hernández,106,México,México,Mediocampista defensivo
América del Norte,29,1,Alexis Jiménez,47,México,México,Defensa central
América del Norte,26,0,Alexis Sánchez,29,México,México,Lateral derecho
América del Norte,21,8,Alexis Sánchez Chávez,11,México,México,Extremo izquierdo
América del Norte,26,8,Alexis Sánchez García,56,Portugal,México,Lateral derecho
América del Norte,34,4,Alexis Sánchez Martínez,55,México,México,Lateral derecho
África,28,7,Amine Bono,54,Marruecos,Marruecos,Delantero centro
África,27,8,Amine El Haddadi,35,Inglaterra,Marruecos,Extremo derecho
África,35,13,Amine Hakimi,98,España,Marruecos,Mediocampista ofensivo
África,31,8,Amine Mazraoui,78,Estados Unidos,Marruecos,Mediocampista defensivo
África,37,35,Amine Saïss,88,Alemania,Marruecos,Delantero centro
África,37,15,Anas Amrabat,84,Marruecos,Marruecos,Extremo izquierdo
